#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0003735	structural constituent of ribosome	32	1.39e-14	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G67430.1,AT1G72370.1,AT2G09990.1,AT2G18020.1,AT2G27530.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G04230.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT5G07090.1,AT5G15200.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G60670.1	AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,EMB1080,EMB2296,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52
GO.0005198	structural molecule activity	34	2.27e-13	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G67430.1,AT1G72370.1,AT2G09990.1,AT2G18020.1,AT2G27530.1,AT2G29550.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G04230.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT5G07090.1,AT5G15200.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G49940.1,AT5G60670.1	AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,EMB1080,EMB2296,NFU2,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,TUB7
GO.0003723	RNA binding	37	5.73e-09	AT1G08360.1,AT1G12770.1,AT1G17760.1,AT1G30460.1,AT1G65660.1,AT2G18020.1,AT2G27530.1,AT2G27880.1,AT2G30320.1,AT2G31610.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G45810.1,AT3G06560.1,AT3G09650.1,AT3G12130.1,AT3G12990.1,AT3G15010.1,AT3G47370.1,AT3G48930.1,AT3G53430.1,AT3G55280.1,AT5G05450.1,AT5G07090.1,AT5G15200.1,AT5G16850.1,AT5G21160.3,AT5G22440.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1,AT5G58040.1,AT5G60670.1	AGO5,AT1G08360,AT2G30320,AT2G31610,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G12130,AT3G15010,AT3G47370,AT3G53430,AT5G05450,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,CPSF100,CPSF160,CPSF30,CSTF77,EMB1080,EMB1586,EMB2296,F5I14.19,FIP1[V],HCF152,LARP1a,PAPS3,PGY1,RPL23AA,RPL23AB,RPS11-BETA,RPS5B,RRP45a,TERT
GO.0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	5	6.92e-07	AT1G16980.1,AT1G17000.1,AT1G68020.2,AT1G78580.1,AT4G27550.1	ATTPS6,TPS1,TPS2,TPS3,TPS4
GO.0003674	molecular_function	203	2.34e-06	AT1G01050.1,AT1G02390.1,AT1G02640.1,AT1G02810.1,AT1G03430.1,AT1G03445.1,AT1G06390.1,AT1G06410.1,AT1G06760.1,AT1G07440.1,AT1G07650.2,AT1G08230.2,AT1G08360.1,AT1G08720.1,AT1G09020.1,AT1G09575.1,AT1G09730.1,AT1G10170.1,AT1G10620.1,AT1G11130.1,AT1G11340.1,AT1G12540.1,AT1G12770.1,AT1G12910.1,AT1G14080.1,AT1G14320.1,AT1G16980.1,AT1G17000.1,AT1G17760.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G23420.1,AT1G23870.1,AT1G26110.1,AT1G26665.1,AT1G27400.1,AT1G28310.2,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G34210.1,AT1G48830.1,AT1G49880.1,AT1G50090.1,AT1G50180.1,AT1G51460.1,AT1G52260.1,AT1G55370.2,AT1G55510.1,AT1G60140.1,AT1G60740.1,AT1G61950.1,AT1G64480.1,AT1G66470.1,AT1G67430.1,AT1G68020.2,AT1G68570.1,AT1G70290.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G73165.1,AT1G74040.1,AT1G76420.1,AT1G78580.1,AT2G03800.1,AT2G07741.1,AT2G09990.1,AT2G16370.1,AT2G18020.1,AT2G18120.1,AT2G18700.1,AT2G21170.1,AT2G21340.1,AT2G22980.4,AT2G23540.1,AT2G25680.1,AT2G27530.1,AT2G27880.1,AT2G28080.1,AT2G28160.1,AT2G28605.1,AT2G29650.1,AT2G31610.1,AT2G36160.1,AT2G36200.2,AT2G37270.1,AT2G39460.1,AT2G40300.1,AT2G41840.1,AT2G43120.1,AT2G44470.3,AT2G44610.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46710.1,AT2G47240.1,AT3G03720.1,AT3G04230.1,AT3G06060.1,AT3G06400.3,AT3G06560.1,AT3G06580.1,AT3G07110.2,AT3G09650.1,AT3G11510.1,AT3G11945.2,AT3G12130.1,AT3G12520.1,AT3G12580.1,AT3G12800.1,AT3G12990.1,AT3G14930.1,AT3G15010.1,AT3G15720.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21630.1,AT3G23550.1,AT3G24495.1,AT3G24503.1,AT3G24830.1,AT3G27010.1,AT3G27380.1,AT3G27730.1,AT3G44350.2,AT3G44750.1,AT3G45010.1,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G49910.1,AT3G50520.1,AT3G51830.1,AT3G52430.1,AT3G52580.1,AT3G53430.1,AT3G53730.1,AT3G54140.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59140.1,AT3G61650.1,AT3G61740.1,AT3G63400.1,AT4G00230.1,AT4G01130.1,AT4G01460.1,AT4G08920.1,AT4G10180.1,AT4G10850.1,AT4G15180.1,AT4G17770.1,AT4G21040.1,AT4G24470.3,AT4G24830.1,AT4G25850.2,AT4G27550.1,AT4G33530.1,AT4G34060.1,AT4G36710.1,AT4G36920.1,AT4G39710.1,AT5G04920.1,AT5G05450.1,AT5G07090.1,AT5G08280.1,AT5G08430.1,AT5G09730.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16080.1,AT5G16690.1,AT5G16850.1,AT5G17380.1,AT5G18100.1,AT5G20990.1,AT5G21160.3,AT5G22010.1,AT5G22060.1,AT5G22440.1,AT5G23420.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G40650.1,AT5G45380.1,AT5G51660.1,AT5G52640.1,AT5G54650.1,AT5G56900.2,AT5G57800.1,AT5G58040.1,AT5G60670.1,AT5G65165.1,AT5G67530.1	AAE13,ABCC10,ABCG13,AGO5,AHP5,ALDH2C4,AP2,AT1G02810,AT1G06760,AT1G07440,AT1G07650,AT1G07660,AT1G08230,AT1G08360,AT1G09575,AT1G09730,AT1G11340,AT1G12540,AT1G23140,AT1G26665,AT1G27400,AT1G28310,AT1G48830,AT1G50180,AT1G60740,AT1G67430,AT1G68570,AT2G09990,AT2G21340,AT2G23540,AT2G28080,AT2G28605,AT2G31610,AT2G36160,AT2G36200,AT2G41840,AT2G43120,AT2G45030,AT2G45810,AT3G04230,AT3G07110,AT3G11510,AT3G12130,AT3G15010,AT3G15720,AT3G21360,AT3G23550,AT3G24830,AT3G47370,AT3G49910,AT3G50520,AT3G52580,AT3G53430,AT3G63400,AT4G01130,AT4G01460,AT4G24830,AT5G04920,AT5G05450,AT5G07090,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G17380,AT5G22440,AT5G35530,AT5G56900,AT5G60670,ATAN11,ATTPS6,ATWHY2,At1g55510,At1g60140,At3g11945,B73,BCAT7,BES1,BGLU29,BSU1,BXL2,BXL3,CAT4,CBL8,CDC2,CER3,CERK1,CHR11,CLE1,CPK19,CPSF100,CPSF160,CPSF30,CRY1,CSD3,CSTF77,CUC3,CXE17,DCP5,DET1,DML3,DOF4.3,DUR3,EDR1,EMB1080,EMB1586,EMB2296,EPC1,Erv1,FER4,FIP1[V],FRU,FUT6,Fh5,GALK,GBF3,GEK1,GPAT2,GSK1,HAG1,HAM4,HCF152,HDA3,HEMC,HEME1,HMGB6,HSP70,HSP90.1,IMS1,INO,J2,KUP5,LACS1,LARP1a,MOT1,MPK3,MSH7,NAC015,NAC061,NAC13,NDF5,NFXL1,OCT4,ORC3,ORP4B,P40,PAD4,PAPS3,PDIL1-5,PERK11,PGY1,PHT4;1,PPa1,PTR1,PUB49,PnsL4,RAB6A,RCK,RFC1,RHD6,ROPGAP3,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,RRP45a,SAC52,SAC8,SCPL13,SDG14,SDG2,SDH2-1,SDH2-2,SDH2-3,SDRB,SERK2,SMT1,SNF4,SRS4,SUB,SULTR4;2,SWEET7,SYNC3,TCP20,TERT,THY-1,TIM,TPS1,TPS11,TPS2,TPS3,TPS4,TPS5,TPS7,TPS8,TPS9,TSC10A,TUBG1,XSP1,ZIM,atp6-1,scpl48
GO.0008177	succinate dehydrogenase (ubiquinone) activity	5	2.34e-06	AT2G18450.1,AT3G27380.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3
GO.0003676	nucleic acid binding	73	4.96e-06	AT1G06760.1,AT1G08360.1,AT1G10170.1,AT1G12540.1,AT1G12770.1,AT1G12910.1,AT1G17760.1,AT1G19350.3,AT1G23420.1,AT1G28310.2,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G42990.1,AT1G65660.1,AT1G66470.1,AT1G67970.1,AT1G70980.1,AT1G71260.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G30320.1,AT2G31610.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46680.1,AT3G06400.3,AT3G06560.1,AT3G09650.1,AT3G12130.1,AT3G12990.1,AT3G15010.1,AT3G24495.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G47370.1,AT3G48930.1,AT3G53430.1,AT3G53730.1,AT3G54610.1,AT3G55280.1,AT4G01460.1,AT4G21040.1,AT4G24470.3,AT4G34060.1,AT4G36920.1,AT5G05450.1,AT5G07090.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G21160.3,AT5G22010.1,AT5G22440.1,AT5G23420.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1,AT5G56900.2,AT5G58040.1,AT5G60670.1	AGO5,AP2,AT1G06760,AT1G07660,AT1G08360,AT1G12540,AT1G28310,AT2G30320,AT2G31610,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G12130,AT3G15010,AT3G47370,AT3G53430,AT4G01460,AT5G05450,AT5G07090,AT5G08430,AT5G15200,AT5G22440,AT5G35530,AT5G56900,AT5G60670,ATAN11,ATHB-7,ATWHY2,BES1,BZIP60,CHR11,CPSF100,CPSF160,CPSF30,CSTF77,CUC3,DML3,DOF4.3,EMB1080,EMB1586,EMB2296,F5I14.19,FIP1[V],FRU,GBF3,HAG1,HCF152,HMGB6,HSFA8,INO,LARP1a,MSH7,NAC015,NAC061,NAC13,NFXL1,ORC3,PAPS3,PGY1,RCK,RFC1,RHD6,RPL23AA,RPL23AB,RPS11-BETA,RPS5B,RRP45a,SRS4,SYNC3,TCP20,TERT,ZIM
GO.0097159	organic cyclic compound binding	109	0.00207	AT1G05260.1,AT1G06390.1,AT1G06430.1,AT1G06760.1,AT1G07650.2,AT1G08360.1,AT1G08720.1,AT1G10170.1,AT1G10620.1,AT1G11130.1,AT1G11340.1,AT1G12540.1,AT1G12770.1,AT1G12910.1,AT1G17760.1,AT1G19350.3,AT1G23420.1,AT1G28310.2,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G34210.1,AT1G42990.1,AT1G49880.1,AT1G50180.1,AT1G51460.1,AT1G61950.1,AT1G65660.1,AT1G66470.1,AT1G67970.1,AT1G70980.1,AT1G71260.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G18450.1,AT2G22250.2,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G29550.1,AT2G30320.1,AT2G31610.1,AT2G36200.2,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G44610.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46680.1,AT2G47240.1,AT3G06400.3,AT3G06560.1,AT3G06580.1,AT3G09650.1,AT3G09820.1,AT3G12130.1,AT3G12580.1,AT3G12990.1,AT3G15010.1,AT3G20660.1,AT3G21630.1,AT3G24495.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G53430.1,AT3G53730.1,AT3G54610.1,AT3G55280.1,AT3G59140.1,AT3G61650.1,AT4G01460.1,AT4G08170.2,AT4G08920.1,AT4G21040.1,AT4G24470.3,AT4G24830.1,AT4G34060.1,AT4G36920.1,AT4G39710.1,AT5G05450.1,AT5G07090.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17380.1,AT5G20990.1,AT5G21160.3,AT5G22010.1,AT5G22060.1,AT5G22440.1,AT5G23420.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1,AT5G52640.1,AT5G56900.2,AT5G58040.1,AT5G60670.1	AAT,ABCC10,ABCG13,AGO5,AP2,AT1G06760,AT1G07650,AT1G07660,AT1G08360,AT1G11340,AT1G12540,AT1G28310,AT1G50180,AT2G30320,AT2G31610,AT2G36200,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G12130,AT3G15010,AT3G47370,AT3G53430,AT4G01460,AT4G08170,AT4G24830,AT5G05450,AT5G07090,AT5G08430,AT5G15200,AT5G17380,AT5G22440,AT5G35530,AT5G56900,AT5G60670,ATAN11,ATHB-7,ATWHY2,At3g09820,B73,BES1,BZIP60,CDC2,CERK1,CHR11,CPK19,CPSF100,CPSF160,CPSF30,CRY1,CSTF77,CUC3,DML3,DOF4.3,EDR1,EMB1080,EMB1586,EMB2296,Erv1,F5I14.19,FIP1[V],FRU,FTSH8,GALK,GBF3,GSK1,HAG1,HCF152,HMGB6,HSFA8,HSP70,HSP90.1,INO,J2,LACS1,LARP1a,MPK3,MSH7,NAC015,NAC061,NAC13,NFXL1,OCT4,ORC3,PAPS3,PERK11,PGY1,PnsL4,RAB6A,RCI3,RCK,RFC1,RHD6,RPL23AA,RPL23AB,RPS11-BETA,RPS5B,RRP45a,SDH1-2,SERK2,SRS4,SUB,SYNC3,TCP20,TERT,TUB7,TUBG1,ZIM
GO.1901363	heterocyclic compound binding	109	0.00207	AT1G05260.1,AT1G06390.1,AT1G06430.1,AT1G06760.1,AT1G07650.2,AT1G08360.1,AT1G08720.1,AT1G10170.1,AT1G10620.1,AT1G11130.1,AT1G11340.1,AT1G12540.1,AT1G12770.1,AT1G12910.1,AT1G17760.1,AT1G19350.3,AT1G23420.1,AT1G28310.2,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G34210.1,AT1G42990.1,AT1G49880.1,AT1G50180.1,AT1G51460.1,AT1G61950.1,AT1G65660.1,AT1G66470.1,AT1G67970.1,AT1G70980.1,AT1G71260.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G18450.1,AT2G22250.2,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G29550.1,AT2G30320.1,AT2G31610.1,AT2G36200.2,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G44610.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46680.1,AT2G47240.1,AT3G06400.3,AT3G06560.1,AT3G06580.1,AT3G09650.1,AT3G09820.1,AT3G12130.1,AT3G12580.1,AT3G12990.1,AT3G15010.1,AT3G20660.1,AT3G21630.1,AT3G24495.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G53430.1,AT3G53730.1,AT3G54610.1,AT3G55280.1,AT3G59140.1,AT3G61650.1,AT4G01460.1,AT4G08170.2,AT4G08920.1,AT4G21040.1,AT4G24470.3,AT4G24830.1,AT4G34060.1,AT4G36920.1,AT4G39710.1,AT5G05450.1,AT5G07090.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17380.1,AT5G20990.1,AT5G21160.3,AT5G22010.1,AT5G22060.1,AT5G22440.1,AT5G23420.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1,AT5G52640.1,AT5G56900.2,AT5G58040.1,AT5G60670.1	AAT,ABCC10,ABCG13,AGO5,AP2,AT1G06760,AT1G07650,AT1G07660,AT1G08360,AT1G11340,AT1G12540,AT1G28310,AT1G50180,AT2G30320,AT2G31610,AT2G36200,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G12130,AT3G15010,AT3G47370,AT3G53430,AT4G01460,AT4G08170,AT4G24830,AT5G05450,AT5G07090,AT5G08430,AT5G15200,AT5G17380,AT5G22440,AT5G35530,AT5G56900,AT5G60670,ATAN11,ATHB-7,ATWHY2,At3g09820,B73,BES1,BZIP60,CDC2,CERK1,CHR11,CPK19,CPSF100,CPSF160,CPSF30,CRY1,CSTF77,CUC3,DML3,DOF4.3,EDR1,EMB1080,EMB1586,EMB2296,Erv1,F5I14.19,FIP1[V],FRU,FTSH8,GALK,GBF3,GSK1,HAG1,HCF152,HMGB6,HSFA8,HSP70,HSP90.1,INO,J2,LACS1,LARP1a,MPK3,MSH7,NAC015,NAC061,NAC13,NFXL1,OCT4,ORC3,PAPS3,PERK11,PGY1,PnsL4,RAB6A,RCI3,RCK,RFC1,RHD6,RPL23AA,RPL23AB,RPS11-BETA,RPS5B,RRP45a,SDH1-2,SERK2,SRS4,SUB,SYNC3,TCP20,TERT,TUB7,TUBG1,ZIM
GO.0019843	rRNA binding	9	0.00209	AT2G37190.1,AT2G39460.1,AT3G48930.1,AT3G53430.1,AT3G55280.1,AT5G07090.1,AT5G15200.1,AT5G23740.1,AT5G60670.1	AT2G37190,AT3G53430,AT5G07090,AT5G15200,AT5G60670,EMB1080,RPL23AA,RPL23AB,RPS11-BETA
