#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0045273	respiratory chain complex II	7	2.16e-14	AT2G18450.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0045281	succinate dehydrogenase complex	5	1.47e-09	AT2G18450.1,AT3G27380.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3
GO.0098796	membrane protein complex	11	3.93e-09	AT2G18450.1,AT2G28605.1,AT3G07100.1,AT3G27380.1,AT3G44340.1,AT4G32210.1,AT4G32640.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT2G28605,AT4G32640,CEF,ERMO2,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0070469	respiratory chain	7	2.53e-08	AT2G18450.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0030127	COPII vesicle coat	3	4.91e-07	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
GO.1990204	oxidoreductase complex	6	1.16e-06	AT2G18450.1,AT2G28605.1,AT3G27380.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT2G28605,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3
GO.0005743	mitochondrial inner membrane	7	2.34e-06	AT2G18450.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0043234	protein complex	12	1.15e-05	AT2G18450.1,AT2G28605.1,AT3G07100.1,AT3G27380.1,AT3G44340.1,AT3G53730.1,AT4G32210.1,AT4G32640.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT2G28605,AT4G32640,CEF,ERMO2,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005793	endoplasmic reticulum-Golgi intermediate compartment	3	1.37e-05	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
GO.0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	3	1.37e-05	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
