#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0006412	translation	21	2.25e-08	AT1G14320.1,AT1G23290.1,AT1G70980.1,AT1G72370.1,AT2G18020.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G52580.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G23740.1,AT5G35530.1	AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT5G02870,AT5G15200,AT5G35530,EMB2296,P40,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3
GO.0043604	amide biosynthetic process	22	2.25e-08	AT1G14320.1,AT1G23290.1,AT1G70980.1,AT1G72370.1,AT2G16370.1,AT2G18020.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G52580.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G23740.1,AT5G35530.1	AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT5G02870,AT5G15200,AT5G35530,EMB2296,P40,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3,THY-1
GO.1901566	organonitrogen compound biosynthetic process	29	1.27e-07	AT1G14320.1,AT1G23290.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT2G18020.1,AT2G22250.2,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G45640.1,AT3G52580.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT5G02870.1,AT5G15200.1,AT5G20990.1,AT5G23740.1,AT5G35530.1	AAT,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT4G24830,AT5G02870,AT5G15200,AT5G35530,At3g09820,B73,EMB2296,EPC1,IMS1,MPK3,P40,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3,TSC10A
GO.0006807	nitrogen compound metabolic process	60	1.06e-05	AT1G12770.1,AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G50090.1,AT1G65660.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G22250.2,AT2G26150.1,AT2G27880.1,AT2G30320.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12990.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G52580.1,AT3G54140.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G63400.1,AT4G10180.1,AT4G24830.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G20990.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1	AAT,AGO5,AP2,AT1G28310,AT2G30320,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT3G63400,AT4G24830,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,ATWHY2,At3g09820,B73,BCAT7,BES1,CPSF100,CPSF160,CPSF30,CUC3,DET1,EMB1586,EMB2296,EPC1,F5I14.19,GATA1,HAG1,HAM4,HCF152,HSFA2,IMS1,MPK3,MSH7,NAC015,NAC061,ORC3,P40,PTR1,RCK,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SYNC3,TCP20,TERT,TSC10A
GO.1901564	organonitrogen compound metabolic process	30	3.54e-05	AT1G14320.1,AT1G23290.1,AT1G50090.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT2G18020.1,AT2G22250.2,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G45640.1,AT3G52580.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT5G02870.1,AT5G15200.1,AT5G20990.1,AT5G23740.1,AT5G35530.1	AAT,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT4G24830,AT5G02870,AT5G15200,AT5G35530,At3g09820,B73,BCAT7,EMB2296,EPC1,IMS1,MPK3,P40,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3,TSC10A
GO.0034641	cellular nitrogen compound metabolic process	52	0.000546	AT1G12770.1,AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G65660.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G76420.1,AT2G18020.1,AT2G26150.1,AT2G27880.1,AT2G30320.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12990.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G52580.1,AT3G54610.1,AT3G55280.1,AT3G63400.1,AT4G10180.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1	AGO5,AP2,AT1G28310,AT2G30320,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT3G63400,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,ATWHY2,At3g09820,BES1,CPSF100,CPSF160,CPSF30,CUC3,DET1,EMB1586,EMB2296,F5I14.19,GATA1,HAG1,HAM4,HCF152,HSFA2,MPK3,MSH7,NAC015,NAC061,ORC3,P40,RCK,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SYNC3,TCP20,TERT
GO.0010467	gene expression	42	0.000657	AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G65660.1,AT1G70980.1,AT1G72370.1,AT1G76420.1,AT2G18020.1,AT2G26150.1,AT2G27880.1,AT2G30320.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G07110.2,AT3G09650.1,AT3G11510.1,AT3G24050.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G44350.2,AT3G52580.1,AT3G54610.1,AT3G55280.1,AT3G63400.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G15200.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G51660.1	AGO5,AP2,AT1G28310,AT2G30320,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT3G63400,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,BES1,CPSF100,CPSF160,CPSF30,CUC3,EMB2296,F5I14.19,GATA1,HAG1,HAM4,HCF152,HSFA2,NAC015,NAC061,P40,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3,TCP20
GO.0044249	cellular biosynthetic process	53	0.00107	AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G33280.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G22250.2,AT2G26150.1,AT2G27880.1,AT2G29980.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G15010.1,AT3G24050.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G44350.2,AT3G45640.1,AT3G52580.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT4G36710.1,AT4G36920.1,AT4G39330.1,AT5G02870.1,AT5G08430.1,AT5G13710.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17290.1,AT5G20990.1,AT5G22010.1,AT5G23740.1,AT5G35530.1,AT5G57030.1	AAT,AGO5,AP2,APG5,AT1G28310,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G24830,AT3G52580,AT4G24830,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,At3g09820,B73,BES1,CAD9,CUC3,EMB2296,EPC1,FAD3,GATA1,HAG1,HAM4,HSFA2,IMS1,LUT2,MPK3,NAC015,NAC061,ORC3,P40,RFC1,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SMT1,SRS4,SYNC3,TCP20,TERT,TSC10A
GO.0009058	biosynthetic process	55	0.00201	AT1G08470.1,AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G33280.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G22250.2,AT2G26150.1,AT2G27880.1,AT2G29980.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G15010.1,AT3G24050.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G44350.2,AT3G45640.1,AT3G52580.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT4G36710.1,AT4G36920.1,AT4G39330.1,AT5G02870.1,AT5G08430.1,AT5G13710.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17290.1,AT5G20990.1,AT5G22010.1,AT5G23740.1,AT5G35530.1,AT5G49940.1,AT5G57030.1	AAT,AGO5,AP2,APG5,AT1G28310,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G24830,AT3G52580,AT4G24830,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,At3g09820,B73,BES1,CAD9,CUC3,EMB2296,EPC1,FAD3,GATA1,HAG1,HAM4,HSFA2,IMS1,LUT2,MPK3,NAC015,NAC061,NFU2,ORC3,P40,RFC1,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SMT1,SRS4,SSL3,SYNC3,TCP20,TERT,TSC10A
GO.0034645	cellular macromolecule biosynthetic process	40	0.00201	AT1G14320.1,AT1G19350.3,AT1G23290.1,AT1G28310.2,AT1G33280.1,AT1G70980.1,AT1G72370.1,AT1G76420.1,AT2G18020.1,AT2G26150.1,AT2G27880.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46680.1,AT3G07110.2,AT3G11510.1,AT3G24050.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G44350.2,AT3G52580.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17290.1,AT5G22010.1,AT5G23740.1,AT5G35530.1	AGO5,AP2,APG5,AT1G28310,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT5G02870,AT5G08430,AT5G15200,AT5G35530,ATHB-7,BES1,CUC3,EMB2296,EPC1,GATA1,HAG1,HAM4,HSFA2,NAC015,NAC061,ORC3,P40,RFC1,RPL23AA,RPL23AB,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYNC3,TCP20,TERT
