chromosome,name,start,stop,window_size,classification,value
Fvb1-1,maker-Fvb1-1-snap-gene-0.16,84598,86703,1000,LTR_right,0.4965
Fvb1-1,maker-Fvb1-1-augustus-gene-3.18,386791,388690,1000,LTR_right,0.492
Fvb1-1,maker-Fvb1-1-snap-gene-4.25,454566,457877,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-4.3,457884,462352,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-7.16,690039,694198,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-9.33,932639,935974,1000,LTR_right,0.3255
Fvb1-1,maker-Fvb1-1-snap-gene-9.39,983321,987596,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-10.33,1049965,1051518,1000,LTR_right,0.3365
Fvb1-1,snap_masked-Fvb1-1-processed-gene-10.19,1053511,1053936,1000,LTR_right,0.278
Fvb1-1,maker-Fvb1-1-snap-gene-10.28,1084817,1086776,1000,LTR_right,0.4135
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-13.6,1346460,1351291,1000,LTR_right,0.5
Fvb1-1,snap_masked-Fvb1-1-processed-gene-13.23,1374235,1375218,1000,LTR_right,0.3545
Fvb1-1,maker-Fvb1-1-snap-gene-13.47,1378972,1383286,1000,LTR_right,0.471
Fvb1-1,maker-Fvb1-1-augustus-gene-14.29,1449868,1454457,1000,LTR_right,0.403
Fvb1-1,maker-Fvb1-1-snap-gene-15.15,1519868,1528790,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-18.10,1813502,1816521,1000,LTR_right,0.2445
Fvb1-1,maker-Fvb1-1-augustus-gene-19.27,1971319,1973935,1000,LTR_right,0.262
Fvb1-1,snap_masked-Fvb1-1-processed-gene-20.5,2033841,2035264,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-21.8,2179895,2183034,1000,LTR_right,0.451
Fvb1-1,maker-Fvb1-1-snap-gene-22.47,2233018,2241592,1000,LTR_right,0.4925
Fvb1-1,snap_masked-Fvb1-1-processed-gene-22.24,2258734,2267895,1000,LTR_right,0.25
Fvb1-1,maker-Fvb1-1-snap-gene-23.37,2349504,2356721,1000,LTR_right,0.4885
Fvb1-1,snap_masked-Fvb1-1-processed-gene-23.12,2358587,2361918,1000,LTR_right,0.301
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-24.0,2398290,2402370,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-26.16,2626758,2646727,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-27.28,2712637,2716217,1000,LTR_right,0.3375
