'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb2-1',15298,16515,'maker-Fvb2-1-snap-gene-0.29',0,0,0,0.064,0,0.348,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,325,0,841
3,'Fvb2-1',19412,21176,'maker-Fvb2-1-augustus-gene-0.22',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1636
4,'Fvb2-1',37875,39803,'maker-Fvb2-1-snap-gene-0.31',0,0.13737687921202696,1.03,1.0,0.8387765681700363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8387765681700363,0,0,0,0,0,0,0,0,0,0,0,326,1,1309
5,'Fvb2-1',42441,47656,'maker-Fvb2-1-snap-gene-0.33',1.0,0.5835889570552147,0.43000000000000005,0,0.4156441717791411,0,0,0,0,0,0,0,0,0,0,0,0.4156441717791411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,1,884
6,'Fvb2-1',69521,70805,'maker-Fvb2-1-augustus-gene-0.19',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,896
7,'Fvb2-1',71745,75391,'maker-Fvb2-1-snap-gene-0.34',0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,345,0,1473
8,'Fvb2-1',76817,80109,'maker-Fvb2-1-snap-gene-0.27',0.274,0,0,0,0,0.082,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,165,0,1668
9,'Fvb2-1',81647,85091,'maker-Fvb2-1-snap-gene-0.35',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1954
10,'Fvb2-1',88127,91967,'maker-Fvb2-1-augustus-gene-1.18',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2705
11,'Fvb2-1',97071,98483,'snap_masked-Fvb2-1-processed-gene-1.10',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1150
12,'Fvb2-1',98849,101074,'augustus_masked-Fvb2-1-processed-gene-1.4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1911
13,'Fvb2-1',137881,138176,'maker-Fvb2-1-snap-gene-1.23',0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,None,74,0,279
14,'Fvb2-1',139947,142865,'maker-Fvb2-1-snap-gene-1.28',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1284
15,'Fvb2-1',145406,150304,'maker-Fvb2-1-augustus-gene-1.17',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,3081
16,'Fvb2-1',150439,152186,'maker-Fvb2-1-augustus-gene-1.22',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1561
17,'Fvb2-1',191470,201541,'maker-Fvb2-1-augustus-gene-2.35',0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,485,0,6744
18,'Fvb2-1',203680,210043,'maker-Fvb2-1-snap-gene-2.41',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2111
19,'Fvb2-1',210924,215949,'maker-Fvb2-1-snap-gene-2.42',0,0,0,0,0.061480302427377634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061480302427377634,0,0,0,0,0,0,0,0,0,0,None,None,1,1258
20,'Fvb2-1',218406,219949,'maker-Fvb2-1-augustus-gene-2.32',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1431
21,'Fvb2-1',226854,229972,'maker-Fvb2-1-snap-gene-2.50',0,0,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,170,0,1363
22,'Fvb2-1',233542,234720,'maker-Fvb2-1-augustus-gene-2.33',0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,None,0,249
23,'Fvb2-1',241167,242125,'maker-Fvb2-1-snap-gene-2.45',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,486
24,'Fvb2-1',242159,242436,'maker-Fvb2-1-snap-gene-2.46',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,195
25,'Fvb2-1',257800,258691,'snap_masked-Fvb2-1-processed-gene-2.27',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,729
26,'Fvb2-1',260513,263134,'snap_masked-Fvb2-1-processed-gene-2.23',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1676
27,'Fvb2-1',261735,266325,'maker-Fvb2-1-augustus-gene-2.38',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,3345
28,'Fvb2-1',266695,267918,'maker-Fvb2-1-snap-gene-2.48',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,273
29,'Fvb2-1',274841,277063,'augustus_masked-Fvb2-1-processed-gene-2.8',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2223
