Camarosa	Hawaii-4	Arabidopsis
maker-Fvb7-1-augustus-gene-230.28-mRNA-1	FvH4_7g17940	AT1G01020
maker-Fvb7-2-augustus-gene-138.42-mRNA-1	FvH4_7g17940	AT1G01020
maker-Fvb7-2-augustus-gene-204.35-mRNA-1	FvH4_7g17940	AT1G01020
maker-Fvb7-3-snap-gene-93.38-mRNA-1	FvH4_7g17940	AT1G01020
maker-Fvb7-4-snap-gene-88.62-mRNA-1	FvH4_7g17940	AT1G01020
augustus_masked-Fvb5-1-processed-gene-67.17-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb5-2-processed-gene-54.8-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb5-3-processed-gene-222.7-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb5-4-processed-gene-51.15-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb7-1-processed-gene-230.3-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb7-2-processed-gene-138.5-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb7-2-processed-gene-204.3-mRNA-1	FvH4_7g17930	AT1G01030
augustus_masked-Fvb7-4-processed-gene-88.14-mRNA-1	FvH4_7g17930	AT1G01030
maker-Fvb7-3-augustus-gene-93.28-mRNA-1	FvH4_7g17930	AT1G01030
maker-Fvb7-1-augustus-gene-209.46-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-1-augustus-gene-230.29-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-2-augustus-gene-138.44-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-2-snap-gene-204.54-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-3-augustus-gene-93.26-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-4-augustus-gene-89.23-mRNA-1	FvH4_7g17920	AT1G01040
maker-Fvb7-1-snap-gene-209.55-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-1-snap-gene-230.35-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-2-augustus-gene-203.49-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-2-snap-gene-138.50-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-3-augustus-gene-93.30-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-4-snap-gene-89.37-mRNA-1	FvH4_7g17880	AT1G01050
maker-Fvb7-1-snap-gene-209.53-mRNA-1	FvH4_7g17850	AT1G01060
maker-Fvb7-1-snap-gene-229.58-mRNA-1	FvH4_7g17850	AT1G01060
maker-Fvb7-2-snap-gene-137.51-mRNA-1	FvH4_7g17850	AT1G01060
maker-Fvb7-2-snap-gene-203.63-mRNA-1	FvH4_7g17850	AT1G01060
maker-Fvb7-3-snap-gene-94.42-mRNA-1	FvH4_7g17850	AT1G01060
maker-Fvb7-1-augustus-gene-228.49-mRNA-1	FvH4_7g17690	AT1G01080
maker-Fvb7-2-augustus-gene-136.43-mRNA-1	FvH4_7g17690	AT1G01080
maker-Fvb7-2-augustus-gene-202.40-mRNA-1	FvH4_7g17690	AT1G01080
maker-Fvb7-4-augustus-gene-90.39-mRNA-1	FvH4_7g17690	AT1G01080
maker-Fvb7-1-augustus-gene-208.38-mRNA-1	FvH4_7g17660	AT1G01090
