#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0006412	translation	34	1.28e-11	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G67430.1,AT1G70980.1,AT1G72370.1,AT2G09990.1,AT2G18020.1,AT2G27530.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G04230.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT5G07090.1,AT5G15200.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G60670.1	AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,EMB1080,EMB2296,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,SYNC3
GO.0005992	trehalose biosynthetic process	11	1.76e-11	AT1G06410.1,AT1G16980.1,AT1G17000.1,AT1G23870.1,AT1G60140.1,AT1G68020.2,AT1G70290.1,AT1G78580.1,AT2G18700.1,AT4G17770.1,AT4G27550.1	ATTPS6,At1g60140,TPS1,TPS11,TPS2,TPS3,TPS4,TPS5,TPS7,TPS8,TPS9
GO.0043604	amide biosynthetic process	35	1.85e-11	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G67430.1,AT1G70980.1,AT1G72370.1,AT2G09990.1,AT2G16370.1,AT2G18020.1,AT2G27530.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G04230.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT5G07090.1,AT5G15200.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G60670.1	AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,EMB1080,EMB2296,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,SYNC3,THY-1
GO.0005991	trehalose metabolic process	10	4.31e-10	AT1G06410.1,AT1G16980.1,AT1G17000.1,AT1G23870.1,AT1G60140.1,AT1G68020.2,AT1G70290.1,AT2G18700.1,AT4G17770.1,AT4G27550.1	ATTPS6,At1g60140,TPS11,TPS2,TPS3,TPS4,TPS5,TPS7,TPS8,TPS9
GO.1901566	organonitrogen compound biosynthetic process	45	1.12e-08	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G67430.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT2G07741.1,AT2G09990.1,AT2G18020.1,AT2G22250.2,AT2G27530.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G04230.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G14930.1,AT3G24830.1,AT3G45640.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT5G07090.1,AT5G08280.1,AT5G15200.1,AT5G20990.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G60670.1	AAT,AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT4G24830,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,At3g09820,B73,EMB1080,EMB2296,EPC1,HEMC,HEME1,IMS1,MPK3,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,SYNC3,TSC10A,atp6-1
GO.0006807	nitrogen compound metabolic process	108	4.85e-08	AT1G08360.1,AT1G10170.1,AT1G12540.1,AT1G12770.1,AT1G14320.1,AT1G17760.1,AT1G19350.3,AT1G23290.1,AT1G26110.1,AT1G26665.1,AT1G27400.1,AT1G28310.2,AT1G30135.1,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G42990.1,AT1G48830.1,AT1G50090.1,AT1G65660.1,AT1G66470.1,AT1G67430.1,AT1G67970.1,AT1G68570.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G03800.1,AT2G07741.1,AT2G09990.1,AT2G18020.1,AT2G18450.1,AT2G21170.1,AT2G22250.2,AT2G26150.1,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G30320.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46680.1,AT3G04230.1,AT3G06060.1,AT3G06560.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12580.1,AT3G12990.1,AT3G14930.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G27010.1,AT3G27380.1,AT3G27730.1,AT3G44350.2,AT3G44750.1,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G54140.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G63400.1,AT4G01460.1,AT4G08920.1,AT4G10180.1,AT4G21040.1,AT4G24470.3,AT4G24830.1,AT4G36710.1,AT4G36920.1,AT5G07090.1,AT5G08280.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G20990.1,AT5G21160.3,AT5G22440.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G40650.1,AT5G51660.1,AT5G58040.1,AT5G58230.1,AT5G60670.1,AT5G65165.1,AT5G66760.1	AAT,AGO5,AP2,AT1G08360,AT1G12540,AT1G26665,AT1G27400,AT1G28310,AT1G48830,AT1G67430,AT1G68570,AT2G09990,AT2G30320,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT3G63400,AT4G01460,AT4G24830,AT5G07090,AT5G08430,AT5G15200,AT5G22440,AT5G35530,AT5G60670,ATHB-7,ATWHY2,At3g09820,B73,BCAT7,BES1,BZIP60,CDC2,CPSF100,CPSF160,CPSF30,CRY1,CSTF77,CUC3,DCP5,DET1,DOF4.3,EMB1080,EMB1586,EMB2296,EPC1,F5I14.19,FIP1[V],FRU,GATA1,GBF3,GEK1,HAG1,HAM4,HCF152,HDA3,HEMC,HEME1,HSFA2,HSFA8,HSP70,IMS1,JAZ8,LARP1a,MPK3,MSH7,MSI1,NAC015,NAC061,NAC13,NFXL1,ORC3,P40,PAPS3,PGY1,PTR1,RCK,RHD6,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,RRP45a,SAC52,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SYNC3,TCP20,TERT,TIM,TSC10A,ZIM,atp6-1
GO.1901564	organonitrogen compound metabolic process	53	4.85e-08	AT1G08360.1,AT1G14320.1,AT1G23290.1,AT1G27400.1,AT1G48830.1,AT1G50090.1,AT1G67430.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT2G03800.1,AT2G07741.1,AT2G09990.1,AT2G18020.1,AT2G18450.1,AT2G21170.1,AT2G22250.2,AT2G27530.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT3G04230.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G14930.1,AT3G24830.1,AT3G27380.1,AT3G45640.1,AT3G47370.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G55280.1,AT3G55830.1,AT4G24830.1,AT5G07090.1,AT5G08280.1,AT5G15200.1,AT5G20990.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G40650.1,AT5G60670.1,AT5G65165.1,AT5G66760.1	AAT,AT1G08360,AT1G27400,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT4G24830,AT5G07090,AT5G15200,AT5G22440,AT5G35530,AT5G60670,At3g09820,B73,BCAT7,EMB1080,EMB2296,EPC1,GEK1,HEMC,HEME1,IMS1,MPK3,P40,PGY1,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SYNC3,TIM,TSC10A,atp6-1
GO.0006121	mitochondrial electron transport, succinate to ubiquinone	5	4.1e-07	AT2G18450.1,AT3G27380.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3
GO.0034641	cellular nitrogen compound metabolic process	98	5.78e-07	AT1G08360.1,AT1G10170.1,AT1G12540.1,AT1G12770.1,AT1G14320.1,AT1G17760.1,AT1G19350.3,AT1G23290.1,AT1G26110.1,AT1G26665.1,AT1G27400.1,AT1G28310.2,AT1G30135.1,AT1G30460.1,AT1G32870.1,AT1G33280.1,AT1G42990.1,AT1G48830.1,AT1G65660.1,AT1G66470.1,AT1G67430.1,AT1G67970.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G76420.1,AT2G07741.1,AT2G09990.1,AT2G18020.1,AT2G18450.1,AT2G21170.1,AT2G26150.1,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G30320.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G45810.1,AT2G46270.1,AT2G46680.1,AT3G04230.1,AT3G06560.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12580.1,AT3G12990.1,AT3G14930.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G27010.1,AT3G27380.1,AT3G27730.1,AT3G44350.2,AT3G44750.1,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G54610.1,AT3G55280.1,AT3G63400.1,AT4G01460.1,AT4G08920.1,AT4G10180.1,AT4G21040.1,AT4G24470.3,AT4G36710.1,AT4G36920.1,AT5G07090.1,AT5G08280.1,AT5G08430.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G21160.3,AT5G22440.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G40650.1,AT5G51660.1,AT5G58040.1,AT5G58230.1,AT5G60670.1,AT5G65165.1,AT5G66760.1	AGO5,AP2,AT1G08360,AT1G12540,AT1G26665,AT1G27400,AT1G28310,AT1G48830,AT1G67430,AT2G09990,AT2G30320,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT2G45810,AT3G04230,AT3G07110,AT3G11510,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT3G63400,AT4G01460,AT5G07090,AT5G08430,AT5G15200,AT5G22440,AT5G35530,AT5G60670,ATHB-7,ATWHY2,At3g09820,BES1,BZIP60,CDC2,CPSF100,CPSF160,CPSF30,CRY1,CSTF77,CUC3,DCP5,DET1,DOF4.3,EMB1080,EMB1586,EMB2296,F5I14.19,FIP1[V],FRU,GATA1,GBF3,HAG1,HAM4,HCF152,HDA3,HEMC,HEME1,HSFA2,HSFA8,HSP70,JAZ8,LARP1a,MPK3,MSH7,MSI1,NAC015,NAC061,NAC13,NFXL1,ORC3,P40,PAPS3,PGY1,RCK,RHD6,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,RRP45a,SAC52,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SYNC3,TCP20,TERT,TIM,ZIM,atp6-1
GO.0044249	cellular biosynthetic process	102	5.78e-07	AT1G02390.1,AT1G06410.1,AT1G08360.1,AT1G10170.1,AT1G12540.1,AT1G14080.1,AT1G14320.1,AT1G16980.1,AT1G17000.1,AT1G19350.3,AT1G23290.1,AT1G23870.1,AT1G26665.1,AT1G27400.1,AT1G28310.2,AT1G30135.1,AT1G32870.1,AT1G33280.1,AT1G42990.1,AT1G48830.1,AT1G60140.1,AT1G66470.1,AT1G67430.1,AT1G67970.1,AT1G68020.2,AT1G70290.1,AT1G70980.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT1G78580.1,AT2G07741.1,AT2G09990.1,AT2G18020.1,AT2G18120.1,AT2G18700.1,AT2G21170.1,AT2G22250.2,AT2G26150.1,AT2G27530.1,AT2G27880.1,AT2G28160.1,AT2G29980.1,AT2G31610.1,AT2G36160.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT2G45030.1,AT2G46270.1,AT2G46680.1,AT3G04230.1,AT3G06060.1,AT3G07110.2,AT3G09820.1,AT3G11510.1,AT3G12580.1,AT3G14930.1,AT3G15010.1,AT3G24050.1,AT3G24503.1,AT3G24830.1,AT3G27010.1,AT3G44350.2,AT3G44750.1,AT3G45640.1,AT3G47370.1,AT3G48750.1,AT3G48930.1,AT3G49910.1,AT3G52580.1,AT3G53430.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT4G01460.1,AT4G17770.1,AT4G21040.1,AT4G24470.3,AT4G24830.1,AT4G27550.1,AT4G34060.1,AT4G36710.1,AT4G36920.1,AT4G39330.1,AT5G07090.1,AT5G08280.1,AT5G08430.1,AT5G13710.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17290.1,AT5G20990.1,AT5G22010.1,AT5G22440.1,AT5G23740.1,AT5G35530.1,AT5G57030.1,AT5G58230.1,AT5G60670.1	AAT,AGO5,ALDH2C4,AP2,APG5,AT1G08360,AT1G12540,AT1G26665,AT1G27400,AT1G28310,AT1G48830,AT1G67430,AT2G09990,AT2G31610,AT2G36160,AT2G37190,AT2G41840,AT2G45030,AT3G04230,AT3G07110,AT3G11510,AT3G15010,AT3G24830,AT3G47370,AT3G49910,AT3G52580,AT3G53430,AT4G01460,AT4G24830,AT5G07090,AT5G08430,AT5G15200,AT5G22440,AT5G35530,AT5G60670,ATHB-7,ATTPS6,At1g60140,At3g09820,B73,BES1,BZIP60,CAD9,CDC2,CUC3,DML3,DOF4.3,EMB1080,EMB2296,EPC1,FAD3,FRU,FUT6,GATA1,GBF3,GPAT2,HAG1,HAM4,HDA3,HEMC,HEME1,HSFA2,HSFA8,HSP70,IMS1,JAZ8,LUT2,MPK3,MSI1,NAC015,NAC061,NAC13,NFXL1,ORC3,P40,PGY1,RFC1,RHD6,RPL23AA,RPL23AB,RPL27AB,RPS11-BETA,RPS5B,SAC52,SMT1,SRS4,SYNC3,TCP20,TERT,TIM,TPS1,TPS11,TPS2,TPS3,TPS4,TPS5,TPS7,TPS8,TPS9,TSC10A,ZIM,atp6-1
