g_start,g_stop,g_chromosome,t_start,t_stop,t_chromosome,t_type,t_family
441720,441908,Fvb1-1,441676,442835,Fvb1-1,LTR,Unknown
454008,454529,Fvb1-1,453912,456423,Fvb1-1,LTR,Gypsy
1371929,1374003,Fvb1-1,1371831,1375608,Fvb1-1,LTR,Gypsy
1374235,1375218,Fvb1-1,1371831,1375608,Fvb1-1,LTR,Gypsy
1378972,1383286,Fvb1-1,1376924,1383462,Fvb1-1,LTR,Gypsy
2761835,2762141,Fvb1-1,2761643,2762145,Fvb1-1,LTR,Copia
2947762,2948084,Fvb1-1,2947713,2949024,Fvb1-1,LTR,Unknown
2973280,2973528,Fvb1-1,2972825,2974369,Fvb1-1,LTR,Unknown
2974471,2975115,Fvb1-1,2974370,2975519,Fvb1-1,LTR,Unknown
3260113,3260547,Fvb1-1,3259993,3260917,Fvb1-1,LTR,Copia
3305111,3305474,Fvb1-1,3304842,3306308,Fvb1-1,LTR,Unknown
3397768,3398383,Fvb1-1,3397236,3398575,Fvb1-1,DNA,MULE
3591440,3592289,Fvb1-1,3590536,3592403,Fvb1-1,DNA,MULE
3736683,3740992,Fvb1-1,3733149,3741087,Fvb1-1,LTR,Gypsy
3786152,3786908,Fvb1-1,3785953,3788848,Fvb1-1,DNA,CMC-EnSpm
3788155,3788611,Fvb1-1,3785953,3788848,Fvb1-1,DNA,CMC-EnSpm
3795053,3795422,Fvb1-1,3794586,3795831,Fvb1-1,DNA,CMC-EnSpm
4071273,4071755,Fvb1-1,4070921,4072224,Fvb1-1,DNA,MULE
4114289,4114814,Fvb1-1,4114205,4116590,Fvb1-1,DNA,MULE
4132750,4133009,Fvb1-1,4131226,4133273,Fvb1-1,DNA,hAT
4263241,4263618,Fvb1-1,4262850,4263946,Fvb1-1,LINE,None
4557420,4558058,Fvb1-1,4557056,4558457,Fvb1-1,LTR,Unknown
4584480,4585097,Fvb1-1,4584367,4585314,Fvb1-1,LTR,Gypsy
4630149,4630412,Fvb1-1,4629925,4630521,Fvb1-1,DNA,CMC-EnSpm
4630522,4631015,Fvb1-1,4630518,4631689,Fvb1-1,DNA,CMC-EnSpm
4824604,4825005,Fvb1-1,4823164,4825103,Fvb1-1,DNA,CMC-EnSpm
5599671,5599952,Fvb1-1,5599570,5600920,Fvb1-1,DNA,PIF-Harbinger
5600234,5600613,Fvb1-1,5599570,5600920,Fvb1-1,DNA,PIF-Harbinger
5987015,5987853,Fvb1-1,5986906,5987898,Fvb1-1,LINE,None
6353619,6353996,Fvb1-1,6353498,6355011,Fvb1-1,LTR,Gypsy
6376968,6377156,Fvb1-1,6376855,6377485,Fvb1-1,LTR,Unknown
7268022,7268685,Fvb1-1,7267656,7269571,Fvb1-1,DNA,MULE
7268687,7269486,Fvb1-1,7267656,7269571,Fvb1-1,DNA,MULE
7286761,7290072,Fvb1-1,7286661,7290436,Fvb1-1,LTR,Gypsy
7318318,7320369,Fvb1-1,7316228,7320443,Fvb1-1,LTR,Gypsy
7424187,7428290,Fvb1-1,7420562,7428372,Fvb1-1,LTR,Gypsy
7489554,7493259,Fvb1-1,7489459,7497306,Fvb1-1,LTR,Gypsy
7498008,7498991,Fvb1-1,7497610,7501400,Fvb1-1,LTR,Gypsy
7499277,7501300,Fvb1-1,7497610,7501400,Fvb1-1,LTR,Gypsy
8133716,8134741,Fvb1-1,8132177,8134805,Fvb1-1,DNA,MULE
8219523,8220103,Fvb1-1,8219444,8220174,Fvb1-1,LINE,None
8855797,8856090,Fvb1-1,8851327,8856554,Fvb1-1,DNA,Unknown
8952589,8953296,Fvb1-1,8952486,8953726,Fvb1-1,LTR,Gypsy
8961203,8961466,Fvb1-1,8954136,8961932,Fvb1-1,LTR,Gypsy
8961472,8961837,Fvb1-1,8954136,8961932,Fvb1-1,LTR,Gypsy
9299142,9299691,Fvb1-1,9299053,9300661,Fvb1-1,DNA,CMC-EnSpm
9590477,9591298,Fvb1-1,9590096,9592593,Fvb1-1,DNA,CMC-EnSpm
10360087,10360611,Fvb1-1,10359810,10361533,Fvb1-1,LTR,Gypsy
10420498,10422411,Fvb1-1,10420435,10422637,Fvb1-1,DNA,MULE
10424117,10425105,Fvb1-1,10422657,10425376,Fvb1-1,DNA,CMC-EnSpm
10427147,10427506,Fvb1-1,10426579,10427601,Fvb1-1,DNA,MULE
10550341,10551146,Fvb1-1,10550298,10552061,Fvb1-1,LTR,Gypsy
10551504,10551962,Fvb1-1,10550298,10552061,Fvb1-1,LTR,Gypsy
10575384,10575662,Fvb1-1,10574612,10575943,Fvb1-1,LTR,Unknown
10673570,10673869,Fvb1-1,10673231,10677351,Fvb1-1,DNA,CMC-EnSpm
11003627,11004516,Fvb1-1,11001585,11004865,Fvb1-1,DNA,PIF-Harbinger
11055587,11056476,Fvb1-1,11055238,11058518,Fvb1-1,DNA,PIF-Harbinger
11239005,11239961,Fvb1-1,11238364,11240011,Fvb1-1,LTR,Copia
11275351,11276536,Fvb1-1,11275057,11277293,Fvb1-1,DNA,MULE
11277897,11279234,Fvb1-1,11277399,11280402,Fvb1-1,DNA,CMC-EnSpm
11279262,11280080,Fvb1-1,11277399,11280402,Fvb1-1,DNA,CMC-EnSpm
11310665,11312736,Fvb1-1,11309904,11313109,Fvb1-1,LTR,Unknown
11416616,11417646,Fvb1-1,11415560,11417970,Fvb1-1,DNA,MULE
11494847,11495961,Fvb1-1,11493815,11496459,Fvb1-1,DNA,CMC-EnSpm
11810241,11810973,Fvb1-1,11810223,11810995,Fvb1-1,Unknown,Unknown
13859401,13859858,Fvb1-1,13856963,13859903,Fvb1-1,DNA,CMC-EnSpm
14011741,14012429,Fvb1-1,14011367,14013776,Fvb1-1,LTR,Copia
14642576,14642951,Fvb1-1,14642524,14643082,Fvb1-1,LTR,Copia
14824790,14825206,Fvb1-1,14824504,14825216,Fvb1-1,LTR,Copia
14893140,14894148,Fvb1-1,14892866,14894828,Fvb1-1,DNA,PIF-Harbinger
15160443,15160758,Fvb1-1,15160171,15161032,Fvb1-1,LINE,None
15536056,15536410,Fvb1-1,15535618,15536514,Fvb1-1,Unknown,Unknown
15705456,15705791,Fvb1-1,15705381,15705855,Fvb1-1,DNA,hAT
16024849,16025125,Fvb1-1,16024240,16025216,Fvb1-1,LTR,Gypsy
16190931,16191305,Fvb1-1,16190455,16191693,Fvb1-1,Unknown,Unknown
